titulo,año,duracion,pais,director,generos,valoracion_media,num_votos,tipo,url,fecha_extraccion,categoria_extraccion,genero_Serie de TV,genero_Thriller,genero_Animación,genero_Intriga,genero_Aventuras,genero_Acción,genero_Romance,genero_Documental,genero_Western,genero_Bélico,genero_Infantil,genero_Drama,genero_Musical,genero_Fantástico,genero_Comedia,genero_Ciencia ficción,genero_Terror,decada
MadS,2024,95,No disponible,No disponible,['Terror'],6.1,745,Película,https://www.filmaffinity.com/es/film905083.html,2025-04-07,Terror 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
Exhuma,2024,134,No disponible,No disponible,"['Thriller', 'Terror', 'Intriga']",6.0,1803,Película,https://www.filmaffinity.com/es/film532415.html,2025-04-07,Terror 2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
La joven y el mar,2024,100,No disponible,No disponible,"['Drama', 'Romance']",6.9,2203,Película,https://www.filmaffinity.com/es/film174346.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020
Vivir el momento,2024,107,No disponible,No disponible,"['Romance', 'Drama']",6.4,2150,Película,https://www.filmaffinity.com/es/film491455.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020
Polvo serán,2024,106,No disponible,No disponible,"['Drama', 'Romance', 'Musical']",6.4,1076,Película,https://www.filmaffinity.com/es/film353397.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2020
Rivales,2024,131,No disponible,No disponible,"['Drama', 'Romance']",6.3,11219,Película,https://www.filmaffinity.com/es/film500773.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020
Mi yo adulta,2024,89,No disponible,No disponible,"['Romance', 'Comedia', 'Fantástico']",6.2,810,Película,https://www.filmaffinity.com/es/film772019.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2020
Goyo,2024,107,No disponible,No disponible,"['Drama', 'Romance', 'Comedia']",6.1,926,Película,https://www.filmaffinity.com/es/film979469.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2020
Fly Me to the Moon,2024,132,No disponible,No disponible,"['Comedia', 'Drama', 'Romance']",6.0,4032,Película,https://www.filmaffinity.com/es/film188353.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2020
El especialista,2024,125,No disponible,No disponible,"['Acción', 'Comedia', 'Romance']",6.0,9631,Película,https://www.filmaffinity.com/es/film958361.html,2025-04-07,Romance 2024,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2020
Romper el círculo,2024,130,No disponible,No disponible,"['Romance', 'Drama']",5.7,4130,Película,https://www.filmaffinity.com/es/film607991.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020
La idea de tenerte,2024,115,No disponible,No disponible,['Romance'],5.4,4042,Película,https://www.filmaffinity.com/es/film124676.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020
Memorias de un caracol,2024,94,No disponible,No disponible,"['Animación', 'Drama', 'Comedia']",7.6,2341,Película,https://www.filmaffinity.com/es/film734032.html,2025-04-07,Comedia 2024,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020
