titulo,año,duracion,generos,valoracion_media,num_votos,tipo,url,fecha_extraccion,categoria_extraccion,genero_Serie de TV,genero_Thriller,genero_Animación,genero_Intriga,genero_Aventuras,genero_Acción,genero_Romance,genero_Documental,genero_Western,genero_Bélico,genero_Infantil,genero_Drama,genero_Musical,genero_Fantástico,genero_Comedia,genero_Ciencia ficción,genero_Terror,decada,generos_list,popularidad,epoca,duracion_cat
Lo que hay dentro,2024,103,"['Intriga', 'Thriller', 'Ciencia ficción']",5.8,3671,Película,https://www.filmaffinity.com/es/film148922.html,2025-04-07,Ciencia Ficción 2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,"['Intriga', 'Thriller', 'Ciencia ficción']",Media,Actual,Normal
Rebel Moon (Capítulo uno): El cáliz de sangre,2024,200,"['Ciencia ficción', 'Acción']",5.6,702,Película,https://www.filmaffinity.com/es/film427446.html,2025-04-07,Ciencia Ficción 2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,"['Ciencia ficción', 'Acción']",Baja,Actual,Muy Largo
Nosferatu,2024,132,['Terror'],6.8,16969,Película,https://www.filmaffinity.com/es/film779702.html,2025-04-07,Terror 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,['Terror'],Alta,Actual,Largo
Strange Darling,2024,96,"['Thriller', 'Terror']",6.6,2151,Película,https://www.filmaffinity.com/es/film377182.html,2025-04-07,Terror 2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,"['Thriller', 'Terror']",Media,Actual,Normal
No hables con extraños,2024,109,"['Intriga', 'Terror', 'Thriller']",6.4,7561,Película,https://www.filmaffinity.com/es/film928692.html,2025-04-07,Terror 2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,"['Intriga', 'Terror', 'Thriller']",Alta,Actual,Normal
El baño del diablo,2024,120,"['Drama', 'Terror']",6.3,2986,Película,https://www.filmaffinity.com/es/film394035.html,2025-04-07,Terror 2024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2020,"['Drama', 'Terror']",Media,Actual,Normal
Pedro Páramo,2024,123,"['Drama', 'Fantástico', 'Terror']",6.2,769,Película,https://www.filmaffinity.com/es/film451119.html,2025-04-07,Terror 2024,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2020,"['Drama', 'Fantástico', 'Terror']",Baja,Actual,Largo
MadS,2024,95,['Terror'],6.1,745,Película,https://www.filmaffinity.com/es/film905083.html,2025-04-07,Terror 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,['Terror'],Baja,Actual,Normal
Exhuma,2024,134,"['Thriller', 'Terror', 'Intriga']",6.0,1803,Película,https://www.filmaffinity.com/es/film532415.html,2025-04-07,Terror 2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,"['Thriller', 'Terror', 'Intriga']",Media,Actual,Largo
La joven y el mar,2024,100,"['Drama', 'Romance']",6.9,2203,Película,https://www.filmaffinity.com/es/film174346.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,"['Drama', 'Romance']",Media,Actual,Normal
Vivir el momento,2024,107,"['Romance', 'Drama']",6.4,2150,Película,https://www.filmaffinity.com/es/film491455.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,"['Romance', 'Drama']",Media,Actual,Normal
Polvo serán,2024,106,"['Drama', 'Romance', 'Musical']",6.4,1076,Película,https://www.filmaffinity.com/es/film353397.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2020,"['Drama', 'Romance', 'Musical']",Media,Actual,Normal
Rivales,2024,131,"['Drama', 'Romance']",6.3,11219,Película,https://www.filmaffinity.com/es/film500773.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,"['Drama', 'Romance']",Alta,Actual,Largo
Mi yo adulta,2024,89,"['Romance', 'Comedia', 'Fantástico']",6.2,810,Película,https://www.filmaffinity.com/es/film772019.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2020,"['Romance', 'Comedia', 'Fantástico']",Baja,Actual,Corto
Goyo,2024,107,"['Drama', 'Romance', 'Comedia']",6.1,926,Película,https://www.filmaffinity.com/es/film979469.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2020,"['Drama', 'Romance', 'Comedia']",Baja,Actual,Normal
Fly Me to the Moon,2024,132,"['Comedia', 'Drama', 'Romance']",6.0,4032,Película,https://www.filmaffinity.com/es/film188353.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2020,"['Comedia', 'Drama', 'Romance']",Media,Actual,Largo
El especialista,2024,125,"['Acción', 'Comedia', 'Romance']",6.0,9631,Película,https://www.filmaffinity.com/es/film958361.html,2025-04-07,Romance 2024,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2020,"['Acción', 'Comedia', 'Romance']",Alta,Actual,Largo
Romper el círculo,2024,130,"['Romance', 'Drama']",5.7,4130,Película,https://www.filmaffinity.com/es/film607991.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,"['Romance', 'Drama']",Media,Actual,Largo
La idea de tenerte,2024,115,['Romance'],5.4,4042,Película,https://www.filmaffinity.com/es/film124676.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,['Romance'],Media,Actual,Normal
